RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
1,"Alabama, SEC",86.4,89.9,50.6,92.8
2,"Georgia, SEC",85.9,87.2,55.8,91.6
3,"Penn State, Big Ten",88.6,77.2,62.2,89.8
4,"OSU, Big Ten",85.6,83.5,49.1,89.5
5,"Clemson, ACC",76.4,90.9,47.3,89
6,"Oklahoma, Big 12",96.6,52.3,38.2,85.9
7,"Wisconsin, Big Ten",70.1,86.9,57.2,84.7
8,"Notre Dame, FBS Indep.",77.1,79.9,45.5,82.7
9,"Washington, Pac-12",78.3,75.4,55.4,82.4
10,"Auburn, SEC",70.7,84.7,46.8,82.4
11,"UCF, American",80.4,66.6,63.7,80.6
12,"Oklahoma State, Big 12",89.2,61.7,31.5,80.2
13,"TCU, Big 12",66.2,77.5,72.5,80
14,"LSU, SEC",75.5,67.6,44,74.9
15,"Miss St, SEC",56,83.1,52.7,73.6
16,"Stanford, Pac-12",77.6,55.6,64.9,72.9
17,"Iowa State, Big 12",66.9,70.4,51.7,72.8
18,"Wake Forest, ACC",73.9,64.3,48.5,72.5
19,"NC State, ACC",76.6,61.4,39.1,72.2
20,"VT, ACC",49.8,79.2,69.5,71.7
RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
21,"USC, Pac-12",67.5,68,50.1,71.7
22,"Miami, ACC",64,74.2,38.9,71.6
23,"Louisville, ACC",80.4,48.4,58.9,71.3
24,"Michigan, Big Ten",45.6,82.3,57.5,69.3
25,"Michigan State, Big Ten",56.4,75.7,50.5,69
26,"FSU, ACC",52.8,74,56,68.5
27,"Boise State, MW",62.5,64.7,56.1,67.8
28,"Texas, Big 12",35.1,86.6,59.4,67.7
29,"Boston College, ACC",52.3,73.3,58.3,67.4
30,"Kansas State, Big 12",57.4,60.4,77.8,67.3
31,"Iowa, Big Ten",52.7,71.5,56.6,66.9
32,"Memphis, American",74,49,55.9,65.9
33,"Utah, Pac-12",47.7,71.7,63.9,64.6
34,"Georgia Tech, ACC",69.1,57.1,35.1,63.2
35,"Purdue, Big Ten",52.2,69.6,43.3,62.3
36,"Texas Tech, Big 12",66.9,55.9,40.2,62.3
37,"Washington St, Pac-12",45.7,78.8,38.3,62.2
38,"USF, American",58.4,64.9,39.8,62.2
39,"Northwestern, Big Ten",48.2,70.2,55.7,62.1
40,"Oregon, Pac-12",55.9,64.3,47.5,61.9
RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
41,"Duke, ACC",50.9,72.2,41.1,61.9
42,"South Carolina, SEC",52.1,66.3,47.3,61.6
43,"FAU, C-USA",69.2,43.8,66.8,61.5
44,"Arizona, Pac-12",81.2,39.4,40.6,61.4
45,"Fresno State, MW",50.4,66.6,49.5,60.4
46,"Houston, American",44.3,68,53.1,59.4
47,"San Diego State, MW",50.6,61.9,57.5,59.4
48,"Indiana, Big Ten",48.2,66.9,53.2,59.3
49,"West Virginia, Big 12",66.6,52.4,37.7,58.9
50,"Navy, American",63.3,45.6,56.8,58
51,"Toledo, MAC",64,44.1,59.1,57.5
52,"Pitt, ACC",57.5,52.2,57.2,57.4
53,"Texas A&M, SEC",48.3,60.2,57.6,56.9
54,"Missouri, SEC",73.7,38.7,42.5,56.7
55,"Arizona State, Pac-12",65.9,45.1,45.7,56.5
56,"Ohio, MAC",56.9,51.9,53.2,56.1
57,"Army, FBS Indep.",74.4,30.1,49.9,55.3
58,"Troy, Sun Belt",48.5,60.7,43.4,54.6
59,"Appalachian St, Sun Belt",46.7,62.8,42.6,54.2
60,"Ole Miss, SEC",64,41.1,56.7,54.1
RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
61,"UCLA, Pac-12",63.2,43.4,45.2,52.8
62,"Kentucky, SEC",55,43.5,64.3,52
63,"Cal, Pac-12",46.8,55.8,48.6,51.2
64,"N Illinois, MAC",34.8,69.2,43.4,50.8
65,"Syracuse, ACC",53.4,46.4,49,50.2
66,"Wyoming, MW",24.7,67.2,60.3,48.7
67,"UNC, ACC",41,50.6,60.7,47.3
68,"UVA, ACC",35.4,59.1,53.1,46.8
69,"Utah State, MW",28.2,63.3,53.9,46.7
70,"Colorado, Pac-12",47.9,42.2,62.9,46.4
71,"SMU, American",65.8,29.5,43.1,45.7
72,"Arkansas State, Sun Belt",41,51,54.8,45.7
73,"Marshall, C-USA",37.4,51.7,62.3,45.6
74,"Temple, American",34.4,56.4,56.9,45.6
75,"Minnesota, Big Ten",36,55,52.7,45.1
76,"Florida, SEC",33.1,59.1,46.9,44.5
77,"Colorado State, MW",63.2,26.6,49,44.4
78,"Buffalo, MAC",56.3,34.8,49.4,44
79,"W Michigan, MAC",45.8,35.3,72.5,43.9
80,"Arkansas, SEC",54.7,35.3,52.1,43.7
RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
81,"E Michigan, MAC",32.5,57.9,48,43.2
82,"Tulane, American",43.3,43.5,56.5,43
83,"Maryland, Big Ten",47.4,36.8,63.6,42.5
84,"Vanderbilt, SEC",54.3,37,33.9,40.9
85,"UTSA, C-USA",34.5,53.5,46.6,40.7
86,"Nebraska, Big Ten",50.8,30.6,62.3,40.5
87,"Southern Miss, C-USA",35.3,49.7,45.7,39.7
88,"Mid Tennessee, C-USA",35,47.9,49.2,39.4
89,"North Texas, C-USA",54.2,27,56.9,39
90,"Tennessee, SEC",34.8,47.1,49,38.9
91,"LA Tech, C-USA",41.6,41.8,43.7,38.6
92,"Miami (OH), MAC",36.7,43.4,52.4,38.1
93,"Cent Michigan, MAC",32.9,49.5,42.1,37.7
94,"New Mexico St, Sun Belt",36.7,40.8,43.7,35
95,"Air Force, MW",54.3,21.4,43,34.9
96,"Rutgers, Big Ten",25.6,48.3,49.4,34.7
97,"UMass, FBS Indep.",37.2,44.1,30.2,34.3
98,"Baylor, Big 12",36.9,33.1,58.7,33.6
99,"Akron, MAC",29.6,44.2,45.5,33.3
100,"UAB, C-USA",36.1,43.2,29.3,33
RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
101,"Tulsa, American",47.6,24,46.4,31.4
102,"UNLV, MW",46.9,23.4,48.2,30.7
103,"Nevada, MW",42,32.3,31.9,30.4
104,"BYU, FBS Indep.",19.7,49.3,48.9,29.8
105,"FIU, C-USA",37.2,27.4,56,29
106,"Idaho, Sun Belt",20.7,45.9,47.3,28.3
107,"South Alabama, Sun Belt",16.7,41,74,28.2
108,"Cincinnati, American",37.2,29.2,42.5,27.8
109,"UL Monroe, Sun Belt",58.6,10.2,60.7,27.1
110,"Georgia State, Sun Belt",25.2,41.2,36.4,26.5
111,"W Kentucky, C-USA",31.4,25.9,50.2,24.4
112,"UConn, American",34.1,26.1,40.8,24.2
113,"Illinois, Big Ten",18.1,36.8,56.6,23.9
114,"Old Dominion, C-USA",21.5,33.7,48,22.6
115,"Louisiana, Sun Belt",40.3,18,45.2,22.4
116,"Bowling Green, MAC",33.1,19.9,58.3,22.3
117,"C. Carolina, Sun Belt",34.2,21,47.9,22.2
118,"New Mexico, MW",24.4,30.5,40.6,21.5
119,"Oregon State, Pac-12",32.9,21.7,46.6,21.4
120,"Hawai'i, MW",37.2,13.7,60.5,20.4
RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
121,"Ga Southern, Sun Belt",22.8,23.5,57.1,19.4
122,"ECU, American",44.2,9.7,48.6,19.1
123,"Kansas, Big 12",19.5,27,33.4,16
124,"Texas State, Sun Belt",17.8,25.4,30.7,13.9
125,"San Jose State, MW",10.7,23.3,51.7,11.8
126,"Kent State, MAC",9,27.6,49.5,11.8
127,"Charlotte, C-USA",11,18.5,59.2,10.5
128,"Ball State, MAC",21.5,13.2,29,10
129,"Rice, C-USA",18.4,13.9,39.8,9.9
130,"UTEP, C-USA",7.3,23.7,42.6,9.1
