RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
1,"Alabama, SEC",70.8,97.4,56.2,93.5
2,"Washington, Pac-12",81.6,85.4,56.6,89.3
3,"Michigan, Big Ten",73.7,87.4,74.8,88.9
4,"Clemson, ACC",81.8,82.9,47,87.1
5,"OSU, Big Ten",70.7,88.5,48.6,85.2
6,"LSU, SEC",73.2,86.7,32.4,82.9
7,"Oklahoma, Big 12",92.1,59.1,41.1,82.8
8,"FSU, ACC",80.8,75.6,32.4,80.6
9,"USC, Pac-12",78.1,68.5,64.2,80.6
10,"Louisville, ACC",80.3,74.6,35.4,80.1
11,"Wisconsin, Big Ten",63.8,85.5,45.5,79.3
12,"Miami, ACC",66.1,75,67.5,78.1
13,"Kansas State, Big 12",72.1,68.5,67.8,77.5
14,"Stanford, Pac-12",54.4,77.2,79.5,76.1
15,"Auburn, SEC",63.2,73.3,62.4,74.6
16,"W Michigan, MAC",79.1,55.8,54.1,74.2
17,"Colorado, Pac-12",61.3,82.2,33.3,73.6
18,"W Kentucky, C-USA",79.9,54.3,62.3,73.6
19,"Penn State, Big Ten",71.2,63.3,61,72.6
20,"Florida, SEC",39.1,87.2,64.7,72.4
RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
21,"Oklahoma State, Big 12",74.8,56.6,61.4,71.4
22,"VT, ACC",55.4,76.1,58.5,71.1
23,"UNC, ACC",74.2,52,67.8,69.7
24,"Pitt, ACC",82.7,46,56.2,69.7
25,"Texas A&M, SEC",64.8,63,63.2,69.4
26,"Boise State, MW",69.4,66.5,33.4,68.9
27,"NC State, ACC",59.6,71.7,35.8,66.9
28,"West Virginia, Big 12",64.8,67.9,32.1,66.8
29,"Washington St, Pac-12",67.9,55.7,53.1,65.8
30,"Iowa, Big Ten",51.4,66.3,69.5,65.5
31,"Temple, American",60,60.8,63.6,65.4
32,"San Diego State, MW",45.9,72.2,67.3,65.3
33,"Tennessee, SEC",71.4,51.5,57.8,65.2
34,"USF, American",78,48.5,44,64.9
35,"Houston, American",55.4,68.2,53.4,64.5
36,"BYU, FBS Indep.",48.3,68.2,72.6,64.5
37,"Utah, Pac-12",48.7,66.9,73.3,64.1
38,"Tulsa, American",64.1,58.9,42.5,62.8
39,"Georgia Tech, ACC",71.3,43.9,65.6,62
40,"Northwestern, Big Ten",55.2,63.7,50.1,61.7
RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
41,"LA Tech, C-USA",79,36.8,52.1,61.5
42,"Appalachian St, Sun Belt",52.1,64.2,56.9,61.1
43,"Minnesota, Big Ten",43.3,68.6,65.1,61.1
44,"Ole Miss, SEC",69.4,47.1,50.1,60.6
45,"Memphis, American",60.6,44.3,83.4,60.5
46,"Baylor, Big 12",55.2,60,45.8,58.8
47,"TCU, Big 12",53.1,59.1,55.3,58.5
48,"Arkansas, SEC",62.1,45.8,62.2,58.2
49,"UCLA, Pac-12",40.1,75.4,32.4,58.1
50,"Notre Dame, FBS Indep.",58.9,57.5,38.1,57.7
51,"Georgia, SEC",46.3,71.9,35,57.4
52,"Navy, American",79.7,29.7,56.1,57.2
53,"Toledo, MAC",71,40.4,44.6,56.9
54,"Texas, Big 12",48.4,61.2,51.6,56.1
55,"Nebraska, Big Ten",54.6,53.3,55.6,56.1
56,"Texas Tech, Big 12",79.2,25.2,45,55.6
