RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
57,"Troy, Sun Belt",38.9,64.3,61.4,54.1
58,"Wake Forest, ACC",32.4,71,56.8,53.9
59,"Vanderbilt, SEC",46.1,62.2,40.7,53.2
60,"Miss St, SEC",63.1,40.9,49.8,52.5
RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
61,"Air Force, MW",50.3,45.5,62.3,50.2
62,"Oregon, Pac-12",73.9,30.5,39.9,50.1
63,"Kentucky, SEC",56.4,42.6,52.6,49.7
64,"Wyoming, MW",53.2,49.3,40.4,49.4
65,"Colorado State, MW",62.4,34.1,52.6,48.6
66,"Cal, Pac-12",69.1,26.3,51.8,48.2
67,"Old Dominion, C-USA",56.6,42.5,42.1,47.9
68,"Iowa State, Big 12",55.2,36.1,68.9,47.8
69,"Duke, ACC",49.2,52.7,33.8,47.7
70,"Indiana, Big Ten",39.3,60.9,37.5,47.1
71,"Boston College, ACC",21.9,73.9,54.9,47.1
72,"Michigan State, Big Ten",52.4,41.7,50.6,46.6
73,"UCF, American",21.6,71.8,55.7,46.2
74,"Oregon State, Pac-12",40.3,52.8,45.9,45.3
75,"Maryland, Big Ten",47.5,40.2,64.4,44.8
76,"Arkansas State, Sun Belt",28.7,63.2,49.6,44.8
77,"Army, FBS Indep.",43.9,53.2,33,44.3
78,"Missouri, SEC",48.6,40.2,57.1,44.3
79,"South Carolina, SEC",33.4,57.1,48.4,44.2
80,"Ohio, MAC",31.8,53.7,61.6,43.1
RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
81,"New Mexico, MW",61.2,26.4,54.7,42.6
82,"Mid Tennessee, C-USA",61,32.4,38.2,42.5
83,"SMU, American",39.7,55.3,29.3,42.2
84,"Arizona State, Pac-12",37,43.4,62.4,40.9
85,"Syracuse, ACC",52.2,33.6,45.3,40.9
86,"Idaho, Sun Belt",42.7,34,74.2,40.8
87,"N Illinois, MAC",42.5,36.3,54.8,37.9
88,"UVA, ACC",33.2,46,53.9,37.9
89,"Utah State, MW",36.2,45.7,40.3,37.3
90,"Arizona, Pac-12",56.2,31.5,29.6,37
91,"Cincinnati, American",30.4,48.9,46.2,36.8
92,"E Michigan, MAC",40.2,34.9,58.6,36.4
93,"Tulane, American",26.1,56.7,37.1,36.1
94,"Ga Southern, Sun Belt",34.9,36.1,67.8,35.9
95,"Southern Miss, C-USA",36.1,46.4,37.8,35.9
96,"UTSA, C-USA",33.6,39.1,58.7,34.8
97,"Miami (OH), MAC",32.9,44.5,40.9,34.5
98,"Cent Michigan, MAC",35,42,39.4,33.8
99,"Louisiana, Sun Belt",28.4,44.2,48.3,32.6
100,"Hawai'i, MW",34.7,33.8,52.8,31.4
RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
101,"Ball State, MAC",36.4,32.4,51,31
102,"ECU, American",44.1,28.2,33.6,30.4
103,"Illinois, Big Ten",27.4,43,38.1,30.4
104,"Akron, MAC",37.8,27.2,51,28.2
105,"Georgia State, Sun Belt",25,48.7,19.6,28.1
106,"Nevada, MW",41.9,23.6,48.2,27.7
107,"UNLV, MW",46,23,37,27.5
108,"Kent State, MAC",16.4,48.9,43.4,27.3
109,"North Texas, C-USA",26,34.7,54.8,27.1
110,"South Alabama, Sun Belt",32.4,31.8,38.1,26.3
111,"Purdue, Big Ten",36.3,27.4,39.7,26.2
112,"Kansas, Big 12",15.7,51.3,37.2,25.2
113,"San Jose State, MW",28.8,29.9,41.3,23.7
114,"UMass, FBS Indep.",32,28.7,35.6,23.7
115,"Bowling Green, MAC",26.5,29.6,47.7,23.1
116,"UConn, American",21.2,31,48.4,21.2
117,"Rutgers, Big Ten",16,41.2,37.6,21
118,"Fresno State, MW",14.9,37.8,52.4,20.7
119,"Charlotte, C-USA",20.7,31.7,44.5,20.4
120,"New Mexico St, Sun Belt",29.1,26.6,29.7,20.2
RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
121,"FAU, C-USA",34.6,15.3,58.3,19.8
122,"UL Monroe, Sun Belt",31.2,19.5,46.6,19.6
123,"Rice, C-USA",27.3,19,49.1,18.2
124,"Marshall, C-USA",21,22.7,60.3,18
125,"UTEP, C-USA",31.3,17.4,45.5,18
126,"FIU, C-USA",19.4,26.4,50.3,17.9
127,"Buffalo, MAC",12.7,32.9,30.2,14
128,"Texas State, Sun Belt",18.7,13,31.8,8.9
